mode,sample_id,control,score
2d,train__c20__user1__5-1-3,same_action_other_trial,0.8637036075626621
2d,train__c20__user1__5-1-3,different_action,0.8218458354866833
2d,train__c20__user1__5-1-3,time_shuffle,0.8773327569700577
2d,train__c20__user1__5-1-3,left_right_swap,0.7597473618383214
2d,train__c21__user1__6-2-1,positive_same_trial,0.8994928200854339
2d,train__c21__user1__6-2-1,same_action_other_trial,0.8696957624184306
2d,train__c21__user1__6-2-1,different_action,0.7306445904208755
2d,train__c21__user1__6-2-1,time_shuffle,0.9008454994265329
2d,train__c21__user1__6-2-1,left_right_swap,0.7897220949681047
2d,train__c22__user1__6-2-1,positive_same_trial,0.9127881437301688
2d,train__c22__user1__6-2-1,same_action_other_trial,0.8860472733269145
2d,train__c22__user1__6-2-1,different_action,0.8128077837808192
2d,train__c22__user1__6-2-1,time_shuffle,0.9049717664603243
2d,train__c22__user1__6-2-1,left_right_swap,0.7954996753197984
2d,train__c23__user1__5-1-1,positive_same_trial,0.8519990360645157
2d,train__c23__user1__5-1-1,same_action_other_trial,0.850302441199581
2d,train__c23__user1__5-1-1,different_action,0.8142658561863928
2d,train__c23__user1__5-1-1,time_shuffle,0.8530648409545193
2d,train__c23__user1__5-1-1,left_right_swap,0.7005584680755019
2d,train__c23__user1__5-1-2,positive_same_trial,0.8753358106311169
2d,train__c23__user1__5-1-2,same_action_other_trial,0.8526612658735524
2d,train__c23__user1__5-1-2,different_action,0.7918237269833528
2d,train__c23__user1__5-1-2,time_shuffle,0.8745018278050939
2d,train__c23__user1__5-1-2,left_right_swap,0.7636987450517747
2d,train__c25__user1__5-1-1,positive_same_trial,0.8044285686201758
2d,train__c25__user1__5-1-1,same_action_other_trial,0.7636146428609051
2d,train__c25__user1__5-1-1,different_action,0.633982121944708
2d,train__c25__user1__5-1-1,time_shuffle,0.7828868382785761
2d,train__c25__user1__5-1-1,left_right_swap,0.7388616338029202
2d,train__c25__user1__5-1-2,positive_same_trial,0.8725207360824923
2d,train__c25__user1__5-1-2,same_action_other_trial,0.8129223349364488
2d,train__c25__user1__5-1-2,different_action,0.8350150986014419
2d,train__c25__user1__5-1-2,time_shuffle,0.8708337382120122
2d,train__c25__user1__5-1-2,left_right_swap,0.7707004994037434
2d,train__c25__user1__5-1-3,positive_same_trial,0.7747401231835291
2d,train__c25__user1__5-1-3,same_action_other_trial,0.8233439359318074
2d,train__c25__user1__5-1-3,different_action,0.7857939320353409
2d,train__c25__user1__5-1-3,time_shuffle,0.7710943921236858
2d,train__c25__user1__5-1-3,left_right_swap,0.679862613793252
2d,train__c27__user1__5-1-1,positive_same_trial,0.837189864696364
2d,train__c27__user1__5-1-1,same_action_other_trial,0.8729445094512631
2d,train__c27__user1__5-1-1,different_action,0.7932403165238229
2d,train__c27__user1__5-1-1,time_shuffle,0.8159273908349528
