mode,sample_id,class_id,action_name,user_id,trial_id,frames,best_shift_frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,rank,gallery_size,retrieval_top1,retrieval_top5,reciprocal_rank
2d,train__c10__user19__7-2-1,10,Stir_drinks,user19,7-2-1,15,0,0.8388888888888889,0.10328473054043642,0.8874172185430463,0.9660510007915528,0.547518849283138,0.8846373728629551,2.0,171.0,0.0,1.0,0.5
25d,train__c10__user19__7-2-1,10,Stir_drinks,user19,7-2-1,15,1,0.8035714285714286,0.24756427596843028,0.562962962962963,0.7408829376905137,0.3973803635597731,0.668878593522807,1.0,171.0,1.0,1.0,1.0
2d,train__c10__user19__7-2-2,10,Stir_drinks,user19,7-2-2,20,2,0.8472222222222222,0.08478723900463854,0.9508196721311475,0.9732484895995784,0.3776388947435053,0.9083208079600742,1.0,171.0,1.0,1.0,1.0
25d,train__c10__user19__7-2-2,10,Stir_drinks,user19,7-2-2,20,0,0.8541666666666666,0.23339753475303537,0.5658536585365853,0.8880297724913734,0.5199459557897598,0.699435102795158,1.0,171.0,1.0,1.0,1.0
2d,train__c10__user19__7-2-3,10,Stir_drinks,user19,7-2-3,16,2,0.8928571428571429,0.10671347253493568,0.9066666666666666,0.9460596771425118,0.27394003857709065,0.878103851559914,1.0,171.0,1.0,1.0,1.0
25d,train__c10__user19__7-2-3,10,Stir_drinks,user19,7-2-3,16,2,0.875,0.2723536563843243,0.5238095238095238,0.7646598357770363,0.17722163115203107,0.6403528440093441,1.0,171.0,1.0,1.0,1.0
2d,train__c11__user19__2-3-1,11,Peel_fruits,user19,2-3-1,53,0,0.8364779874213837,0.11039907304647473,0.8947368421052632,0.9905638289875426,0.28583850160297514,0.8712473324190104,3.0,171.0,0.0,1.0,0.3333333333333333
25d,train__c11__user19__2-3-1,11,Peel_fruits,user19,2-3-1,53,0,0.8333333333333334,0.1731585875438225,0.7716981132075472,0.8017352512008414,0.2673176642302947,0.7829896455348406,1.0,171.0,1.0,1.0,1.0
2d,train__c11__user19__2-3-2,11,Peel_fruits,user19,2-3-2,44,0,0.8333333333333334,0.10520477964958018,0.9022727272727272,0.9554480245062243,0.20009418756226988,0.865135199851126,4.0,171.0,0.0,1.0,0.25
25d,train__c11__user19__2-3-2,11,Peel_fruits,user19,2-3-2,44,0,0.8333333333333334,0.17786945619685224,0.6704545454545454,0.8990483031212484,0.21837217273923545,0.7333660766009008,2.0,171.0,0.0,1.0,0.5
2d,train__c11__user19__2-3-3,11,Peel_fruits,user19,2-3-3,31,0,0.8333333333333334,0.09661197328668916,0.9129032258064517,0.9876837666638495,0.37839448154264677,0.8875780703089653,2.0,171.0,0.0,1.0,0.5
25d,train__c11__user19__2-3-3,11,Peel_fruits,user19,2-3-3,31,0,0.8306451612903226,0.16489536560100154,0.7184466019417476,0.9399124180421919,0.4469451304664397,0.7807222737861956,2.0,171.0,0.0,1.0,0.5
2d,train__c12__user19__3-3-1,12,Sweep_the_floor,user19,3-3-1,33,0,1.0,0.14916681294949694,0.8737373737373737,0.925158193597617,0.5444157962209709,0.88890255963189,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__3-3-1,12,Sweep_the_floor,user19,3-3-1,33,0,1.0,0.2753651847624202,0.3383838383838384,0.6660033034584696,0.4668884532289091,0.5627280754491263,1.0,171.0,1.0,1.0,1.0
2d,train__c12__user19__3-3-2,12,Sweep_the_floor,user19,3-3-2,30,0,0.9694444444444444,0.17229190015329843,0.7048710601719198,0.9202301246689012,0.4348057012103929,0.78425696759667,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__3-3-2,12,Sweep_the_floor,user19,3-3-2,30,0,0.9694444444444444,0.35121902274435474,0.32664756446991405,0.6756877139836935,0.3838696427121277,0.5479595995046762,1.0,171.0,1.0,1.0,1.0
2d,train__c12__user19__3-3-3,12,Sweep_the_floor,user19,3-3-3,16,0,0.8958333333333334,0.1357281376950469,0.872093023255814,0.7067358611079891,0.325309052491395,0.8393062611716846,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__3-3-3,12,Sweep_the_floor,user19,3-3-3,16,0,0.8958333333333334,0.2876196954259307,0.4069767441860465,0.7244624326426573,0.26786747747846334,0.5809568467108094,1.0,171.0,1.0,1.0,1.0
2d,train__c12__user19__7-2-1,12,Sweep_the_floor,user19,7-2-1,51,0,0.8496732026143791,0.10789040801459289,0.9115384615384615,0.8790029891142934,0.2236946116610133,0.8659908688935971,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__7-2-1,12,Sweep_the_floor,user19,7-2-1,51,0,0.8496732026143791,0.40184878617518427,0.25961538461538464,0.7151326345278041,0.17972680528062404,0.48774855564872666,1.0,171.0,1.0,1.0,1.0
2d,train__c12__user19__7-2-2,12,Sweep_the_floor,user19,7-2-2,32,0,0.9921875,0.13044454661098964,0.8346456692913385,0.7367817340859327,0.5473452245950869,0.848002933363461,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__7-2-2,12,Sweep_the_floor,user19,7-2-2,32,0,0.9921875,0.3918744858584996,0.32808398950131235,0.24654580583939836,-0.05774037546271107,0.4749889966499583,2.0,171.0,0.0,1.0,0.5
2d,train__c12__user19__7-2-3,12,Sweep_the_floor,user19,7-2-3,24,-1,1.0,0.1257410010715887,0.8731884057971014,0.8638685338752834,0.24200861750428979,0.8597911228887559,1.0,171.0,1.0,1.0,1.0
25d,train__c12__user19__7-2-3,12,Sweep_the_floor,user19,7-2-3,24,2,1.0,0.4270648870409457,0.25,0.4740450234668133,0.3861718222697403,0.48886738901691185,3.0,171.0,0.0,1.0,0.3333333333333333
2d,train__c13__user19__3-3-1,13,Mop_the_floor,user19,3-3-1,35,0,0.9785714285714285,0.1486124363917622,0.8418491484184915,0.9518803759385873,0.38852409328851856,0.8602015190778108,1.0,171.0,1.0,1.0,1.0
25d,train__c13__user19__3-3-1,13,Mop_the_floor,user19,3-3-1,35,0,0.9761904761904762,0.4393830051096316,0.33170731707317075,0.767972132484797,0.2900191873082072,0.5536067243058868,1.0,171.0,1.0,1.0,1.0
2d,train__c13__user19__3-3-2,13,Mop_the_floor,user19,3-3-2,45,0,0.9962962962962963,0.16857654644290002,0.724907063197026,0.954637149881694,0.4071084241106351,0.799325361184461,1.0,171.0,1.0,1.0,1.0
25d,train__c13__user19__3-3-2,13,Mop_the_floor,user19,3-3-2,45,0,0.9962962962962963,0.4990591139660632,0.34386617100371747,0.8258702248435263,0.22606387880703757,0.5632978370765548,1.0,171.0,1.0,1.0,1.0
2d,train__c13__user19__3-3-3,13,Mop_the_floor,user19,3-3-3,19,0,0.9868421052631579,0.17521845198863997,0.7333333333333333,0.9389036804352852,0.4709738894860427,0.8062309536146309,1.0,171.0,1.0,1.0,1.0
