mode,class_id,action_name,trials,frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,retrieval_top1,retrieval_top5,reciprocal_rank
2d,7,Eat_food,109,26.75229357798165,0.8367937957032062,0.16560341924504987,0.7930509826323047,0.7947442502143747,0.3042501423263199,0.7971506057139998,0.47706422018348627,0.7614678899082569,0.6116755698278097
2d,8,Take_and_use_tableware,81,29.604938271604937,0.7895833931673018,0.18236167561518313,0.7457033826878579,0.6360981237576275,0.3185839723476138,0.7515988100968859,0.5555555555555556,0.7407407407407407,0.6421296438493392
2d,9,Pour_drinks,109,31.201834862385322,0.7967055431330052,0.1775559622049978,0.7543388002078167,0.6870380705479905,0.32737753898591976,0.7628140169063428,0.5137614678899083,0.8623853211009175,0.6688160935383519
2d,10,Stir_drinks,95,23.852631578947367,0.8152413421783118,0.15837262847424377,0.7858682523217806,0.6452306888908558,0.2826019903252487,0.7744698911582898,0.5157894736842106,0.8315789473684211,0.6505272984873731
2d,11,Peel_fruits,84,38.04761904761905,0.7848871190872916,0.15775865404829226,0.8039949792692053,0.7629990967376817,0.29671291939186023,0.7939744068854928,0.4819277108433735,0.7349397590361446,0.6010888702655219
2d,12,Sweep_the_floor,50,62.74,0.8842954452410801,0.16945464809788283,0.7824421737063199,0.7985783058105257,0.324494480310667,0.7867901527036141,0.8571428571428571,0.9591836734693877,0.9059766763848397
2d,13,Mop_the_floor,49,45.97959183673469,0.895709247445519,0.19129081142413062,0.7276141845381277,0.7024987459137388,0.24640048876387158,0.7534886374891865,0.7346938775510204,1.0,0.83843537414966
2d,14,Wipe_bowls,29,40.689655172413794,0.7522719856767309,0.15161120970329825,0.8435226842201833,0.8323682989141341,0.38807397710713554,0.8255034134672559,0.7931034482758621,0.8620689655172413,0.8352195697023284
2d,15,Wipe_windows_and_tables,43,36.04651162790697,0.843523782435199,0.23609522603975902,0.6688953340768731,0.6901641783204403,0.20649422621426294,0.7113881324358657,0.6666666666666666,0.9047619047619048,0.76990786990787
2d,16,Fold_clothes,12,60.333333333333336,0.9715555321841883,0.2583552620855211,0.5762142246887983,0.6441904479095885,0.24977280270085725,0.672225381790781,0.8333333333333334,0.9166666666666666,0.8768115942028986
2d,17,Tap_the_keyboard,68,39.338235294117645,0.8567120114263409,0.24149416902781165,0.6389488519323845,0.42628324604488077,0.2454666675773215,0.6607294769291225,0.12307692307692308,0.35384615384615387,0.24475001663628168
2d,18,Write,25,29.76,0.8041921388644317,0.2710091313713905,0.5637733493734174,0.5195342210190077,0.2736483151042945,0.6371506568312327,0.375,0.5833333333333334,0.46718702752571106
2d,19,Make_a_phone_call,35,35.371428571428574,0.9763229356835816,0.2654332528040023,0.620662467959336,0.3292289045205814,0.2990195879525498,0.6693460104944924,0.34285714285714286,0.6571428571428571,0.4868249896817728
2d,20,Check_the_time,67,17.73134328358209,0.8960374893210714,0.22094097106603336,0.6792559474057676,0.5856998221041734,0.34946491521197687,0.7092916657245206,0.5384615384615384,0.8,0.6549576186101446
2d,21,Read_documents,51,40.529411764705884,0.8657737486804509,0.2200079767982061,0.6801417402402882,0.33905386844688007,0.20871089489083813,0.6686008335658746,0.42857142857142855,0.7346938775510204,0.5705443261834239
2d,22,Turn_pages,48,36.354166666666664,0.8533069950277281,0.2281276171283482,0.6347276406593102,0.37084940463761173,0.16372615467831542,0.6502381358877756,0.2608695652173913,0.7391304347826086,0.43445317765969943
2d,23,Listen_to_music_with_headphones,57,38.578947368421055,0.881923841885688,0.22982298632310139,0.6941418617073056,0.698169494337017,0.30031932541038603,0.7365209929528297,0.5892857142857143,0.875,0.7185157104799963
2d,24,Use_a_mobile_phone,31,31.64516129032258,0.9218397202101817,0.21743079889767095,0.7517908437411345,0.6308415328931989,0.33816705682237,0.7691156186296398,0.3548387096774194,0.8064516129032258,0.5587184005115694
2d,25,Watch_TV,6,51.166666666666664,0.9423740550895724,0.23611932107717545,0.6864274878173187,0.4827036442318045,0.35527215568576037,0.721688299908095,0.5,0.6666666666666666,0.6150793650793651
2d,26,Play_games,26,39.38461538461539,0.8987057074334195,0.1961447412836888,0.7444778515099442,0.7637869358612628,0.20027700802911175,0.7429535599272329,0.5,0.875,0.6705357142857142
2d,27,Take_a_selfie,27,33.55555555555556,0.7857435132552842,0.2509974168026098,0.6555718698991397,0.6119833694439059,0.2677264761366635,0.6783084862465691,0.5833333333333334,0.875,0.7166964285714285
2d,28,Jog_in_place,25,39.48,0.980624943256422,0.12234775345621099,0.9195936915397462,0.8277395826771087,0.37400108543807287,0.889663064348069,0.8,0.96,0.8670476190476191
2d,29,Do_squats,61,31.0,0.933851784165314,0.16502043060641888,0.8250302513561812,0.8404303007243662,0.42232496766246397,0.8378692193095525,0.8032786885245902,0.9508196721311475,0.8631023348236463
2d,30,Do_jumping_jacks,37,33.189189189189186,0.9826321553921579,0.15741911979053544,0.8339923870122494,0.6402057702755317,0.4064835933447133,0.8264658749243596,0.972972972972973,1.0,0.9864864864864865
2d,31,Do_stretching_exercises,66,31.303030303030305,0.9152744456129797,0.18784275144926768,0.808777689152393,0.7393803971814298,0.2903554285809646,0.8067399211061693,0.9242424242424242,0.9545454545454546,0.9399710160019438
2d,32,Stand_up,39,12.564102564102564,0.8702398029321106,0.18968755023834577,0.7595985190517909,0.6113244649117545,0.35028171398141283,0.7535797180148911,0.6052631578947368,0.8421052631578947,0.7198412698412698
2d,33,Lie_down,25,38.8,0.7536956505645498,0.27206095441730255,0.6136307263341352,0.5302932287878268,0.18751096528306138,0.6549591098152416,0.84,1.0,0.9079999999999999
2d,34,Sit_down,90,13.988888888888889,0.9380729361002498,0.20707612438635153,0.7294165073942425,0.6649954151891356,0.31471572442057166,0.7600895935273149,0.6666666666666666,0.9,0.7569121031554753
2d,35,Do_lunges,21,39.333333333333336,0.9527671020764579,0.14586797937303414,0.859476386579367,0.6199149712964533,0.28364544919388207,0.8262536286454841,0.8571428571428571,1.0,0.9285714285714286
2d,36,Walk,228,20.135964912280702,0.6836637045408128,0.18608359226407623,0.8399654210710823,0.5410054549138946,0.3544452666789406,0.7789464755310405,0.7116279069767442,0.9069767441860465,0.7925704364524443
2d,37,Take_medicine,44,25.545454545454547,0.8387065334913916,0.18748266988036152,0.766129820926037,0.7821514022141293,0.37684282383095175,0.7867204068671939,0.7045454545454546,0.8636363636363636,0.7881222943722943
2d,38,Massage_oneself,50,34.82,0.8778002616931485,0.19549121702378977,0.7369248096579463,0.6517895042933588,0.2188002378681081,0.7496776397506294,0.44,0.86,0.6110367965367965
2d,39,Take_body_temperature,37,23.594594594594593,0.8479481666609657,0.16938915693471607,0.7834360746437847,0.7259073273127481,0.3960515817400678,0.7929792590819581,0.7837837837837838,0.9459459459459459,0.8574646074646074
